Date,Site,Arm,Distance,Soil,SnowDepth,CanopyCover,theta
Day1,1,A,0,9.1,NA,no,1.5708
Day1,1,A,0.5,3.3,NA,no,1.5708
Day1,1,A,1,10.5,NA,no,1.5708
Day1,1,A,1.5,8,NA,no,1.5708
Day1,1,B,0,7.6,NA,no,3.6619
Day1,1,B,0.5,10.5,NA,no,3.6619
Day1,1,B,1,12.7,NA,yes,3.6619
Day1,1,B,1.5,17.8,NA,no,3.6619
Day1,1,C,0,10.2,NA,no,5.75959
Day1,1,C,0.5,11.3,NA,no,5.75959
Day1,1,C,1,15.6,NA,no,5.75959
Day1,1,C,1.5,12,NA,no,5.75959
Day1,2,A,0,8,NA,no,1.5708
Day1,2,A,0.5,19.9,NA,no,1.5708
Day1,2,A,1,18.5,NA,no,1.5708
Day1,2,A,1.5,16.7,NA,no,1.5708
Day1,2,B,0,7.3,NA,no,3.6619
Day1,2,B,0.5,10.2,NA,yes,3.6619
Day1,2,B,1,13.4,NA,yes,3.6619
Day1,2,B,1.5,16.7,NA,no,3.6619
Day1,2,C,0,14.2,NA,yes,5.75959
Day1,2,C,0.5,13.4,NA,no,5.75959
Day1,2,C,1,16.3,NA,no,5.75959
Day1,2,C,1.5,17,NA,no,5.75959
Day1,3,A,0,1.5,NA,yes,1.5708
Day1,3,A,0.5,13.8,NA,yes,1.5708
Day1,3,A,1,10.5,NA,no,1.5708
Day1,3,A,1.5,12.3,NA,no,1.5708
Day1,3,B,0,3.3,NA,yes,3.6619
Day1,3,B,0.5,10.5,NA,yes,3.6619
Day1,3,B,1,8,NA,yes,3.6619
Day1,3,B,1.5,16,NA,no,3.6619
Day1,3,C,0,8,NA,yes,5.75959
Day1,3,C,0.5,9.8,NA,no,5.75959
Day1,3,C,1,14.5,NA,yes,5.75959
Day1,3,C,1.5,13.4,NA,no,5.75959
Day1,4,A,0,19.2,NA,no,1.5708
Day1,4,A,0.5,10.5,NA,no,1.5708
Day1,4,A,1,15.6,NA,yes,1.5708
Day1,4,A,1.5,13.8,NA,yes,1.5708
Day1,4,B,0,11.3,NA,no,3.6619
Day1,4,B,0.5,9.8,NA,no,3.6619
Day1,4,B,1,12,NA,no,3.6619
Day1,4,B,1.5,12.3,NA,no,3.6619
Day1,4,C,0,6.2,NA,no,5.75959
Day1,4,C,0.5,8.4,NA,no,5.75959
Day1,4,C,1,16,NA,no,5.75959
Day1,4,C,1.5,8.7,NA,no,5.75959
Day1,5,A,0,11.6,NA,yes,1.5708
Day1,5,A,0.5,15.2,NA,yes,1.5708
Day1,5,A,1,13.8,NA,no,1.5708
Day1,5,A,1.5,16.7,NA,no,1.5708
Day1,5,B,0,16.3,NA,yes,3.6619
Day1,5,B,0.5,10.9,NA,yes,3.6619
Day1,5,B,1,12,NA,yes,3.6619
Day1,5,B,1.5,11.3,NA,no,3.6619
Day1,5,C,0,14.9,NA,no,5.75959
Day1,5,C,0.5,13.8,NA,yes,5.75959
Day1,5,C,1,12,NA,no,5.75959
Day1,5,C,1.5,12.3,NA,no,5.75959
Day1,6,A,0,9.1,NA,yes,1.5708
